"ATC","Liečivo","Cesta podania"
"N02CC03","Zolmitriptan","p.o."
"N02CC04","Rizatriptan","p.o."
"N02CC06","Eletriptan","p.o."
"N02CC07","Frovatriptan","p.o."
"N02CX01","Pizotifén","p.o."
"N05AA01","Chlórpromazín","p.o."
"N05AA02","Levomepromazín","p.o."
"N05AD01","Haloperidol","p.o."
"N05AE03","Sertindol","p.o."
"N05AE04","Ziprasidón","p.o."
"N05AF03","Chlórprotixén","p.o."
"N05AF05","Zuklopentixol","p.o."
"N05AH02","Klozapín","p.o."
"N05AH03","Olanzapín","p.o."
"N05AH04","Kvetiapín","p.o."
"N05AL01","Sulpirid","p.o."
"N05AL03","Tiaprid","p.o."
"N05AL05","Amisulprid","p.o."
"N05AN01","Lítium","p.o."
"N05AX08","Risperidón","p.o."
"N05AX11","Zotepín","p.o"
"N05AX12","Aripiprazol","p.o."
"N05AX13","Paliperidón","p.o."
"N05BA01","Diazepam","p.o."
"N05BA04","Oxazepam","p.o."
"N05BA08","Bromazepam","p.o."
"N05BA09","Klobazam","p.o."
"N05BA12","Alprazolam","p.o."
"N05BB01","Hydroxyzín","p.o."
"N05BE01","Buspiron","p.o."
"N05BX01","Mefenoxalón","p.o."
"N05CD13","Cinolazepam","p.o."
"N05CF01","Zopiklón","p.o."
"N05CH01","Melatonín","p.o."
"N06AA02","Imipramín","p.o."
"N06AA04","Klomipramín","p.o."
"N06AA08","Dibenzepín","p.o."
"N06AA09","Amitriptylín","p.o."
"N06AA16","Dosulepín","p.o."
"N06AA21","Maprotilín","p.o."
"N06AB03","Fluoxetín","p.o."
"N06AB04","Citalopram","p.o."
"N06AB05","Paroxetin","p.o."
"N06AB06","Sertralin","p.o."
"N06AB10","Escitalopram","p.o."
"N06AG02","Moklobemid","p.o."
"N06AX03","Mianserin","p.o."
"N06AX05","Trazodon","p.o."
"N06AX11","Mirtazapín","p.o."
"N06AX12","Bupropión","p.o."
"N06AX14","Tianeptín","p.o."
"N06AX16","Venlafaxín","p.o."
"N06AX17","Milnacipran","p.o."
"N06AX21","Duloxetín","p.o."
"N06AX22","Agomelatín","p.o."
"N06BA07","Modafinil","p.o."
"N06BA09","Atomoxetín","p.o."
"N06BX03","Piracetam","p.o."
"N06BX18","Vinpocetín","p.o."
"N06DA02","Donepezil","p.o."
"N06DA03","Rivastigmín","p.o."
"N06DA04","Galantamín","p.o."
"N06DX01","Memantín","p.o."
"N06DX02","Ginkgo biloba","p.o."
"N07AA01","Neostigmín","p.o."
"N07AA02","Pyridostigmín","p.o."
"N07AA03","Distigmín","p.o."
"N07BB03","Akamprosat","p.o."
"N07CA01","Betahistín","p.o."
"N07CA02","Cinarizín","p.o."
"P01AB01","Metronidazol","p.o."
"P01AB03","Ornidazol","p.o."
"P01BA01","Chlorochin","p.o."
"P01BA02","Hydroxychlorochin","p.o."
"P01BC02","Meflochin","p.o."
"P02CA01","Mebendazol","p.o."
"P02CA03","Albendazol","p.o."
"R03BC01","Nátrium chromoglykolát","p.o."
"R03CC02","Salbutamol","p.o."
"R03CC08","Prokaterol","p.o."
"R03CC13","Klenbuterol","p.o."
"R03DA04","Teofylín","p.o."
"R03DC01","Zafirlukast","p.o."
"R03DC03","Montelukast","p.o."
"R03DX07","Roflumilast","p.o."
"R05CB01","Acetylcysteín","p.o."
"R05CB15","Erdosteín","p.o."
"R06AA02","Difenhydramín","p.o."
"R06AA04","Klemastin","p.o."
"R06AB03","Dimetindén","p.o."
"R06AD02","Prometazín","p.o."
"R06AD03","Tietilperazín","p.o."
"R06AE07","Cetirizín","p.o."
"R06AE09","Levocetirizín","p.o."
"R06AX02","Cyproheptadin","p.o."
"R06AX13","Loratadin","p.o."
"R06AX17","Ketotifén","p.o."
"R06AX26","Fexofenadín","p.o."
"R06AX27","Desloratadín","p.o."
"R06AX28","Rupatadín","p.o."
"V03AF03","Kalcium folinát","p.o."
